trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,amount,block_trade_id,parsed_timestamp,currency,expiry,strike,pc
1385,146731459,1619391629465,1,0.003,0.00279689,99.98,BTC-30APR21-58000-C,48879.64,buy,1.1,,2021-04-25 23:00:29.465,BTC,30APR21,58000,C
1386,146731460,1619391629465,1,0.003,0.00279689,99.98,BTC-30APR21-58000-C,48879.64,buy,18.9,,2021-04-25 23:00:29.465,BTC,30APR21,58000,C
1387,146731506,1619391638371,1,0.003,0.00277914,100.16,BTC-30APR21-58000-C,48862.59,buy,0.9,,2021-04-25 23:00:38.371,BTC,30APR21,58000,C
1388,146731582,1619391641397,1,0.003,0.0027199,100.63,BTC-30APR21-58000-C,48820.93,sell,0.7,,2021-04-25 23:00:41.397,BTC,30APR21,58000,C
1389,146731603,1619391644569,1,0.003,0.00270881,100.71,BTC-30APR21-58000-C,48809.13,sell,0.9,,2021-04-25 23:00:44.569,BTC,30APR21,58000,C
1331,146731619,1619391647688,0,0.025,0.02540715,81.95,BTC-30APR21-50000-C,48791.06,sell,0.1,,2021-04-25 23:00:47.688,BTC,30APR21,50000,C
1390,146731666,1619391652956,1,0.003,0.00268292,101.04,BTC-30APR21-58000-C,48770.26,sell,0.1,,2021-04-25 23:00:52.956,BTC,30APR21,58000,C
1391,146731667,1619391653195,1,0.003,0.00267593,101.04,BTC-30APR21-58000-C,48770.26,sell,0.2,,2021-04-25 23:00:53.195,BTC,30APR21,58000,C
1392,146731668,1619391653234,1,0.003,0.00267593,101.04,BTC-30APR21-58000-C,48770.26,sell,0.1,,2021-04-25 23:00:53.234,BTC,30APR21,58000,C
1393,146731678,1619391655571,1,0.003,0.00267184,101.04,BTC-30APR21-58000-C,48755.83,sell,0.1,,2021-04-25 23:00:55.571,BTC,30APR21,58000,C
1394,146731681,1619391655917,1,0.003,0.00267184,101.04,BTC-30APR21-58000-C,48755.83,sell,0.1,,2021-04-25 23:00:55.917,BTC,30APR21,58000,C
1395,146731686,1619391657223,1,0.003,0.00266577,101.14,BTC-30APR21-58000-C,48754.47,sell,0.1,,2021-04-25 23:00:57.223,BTC,30APR21,58000,C
1396,146731693,1619391659139,1,0.003,0.00266191,101.19,BTC-30APR21-58000-C,48746.76,sell,0.1,,2021-04-25 23:00:59.139,BTC,30APR21,58000,C
1397,146731704,1619391659550,1,0.003,0.00266191,101.19,BTC-30APR21-58000-C,48746.76,sell,0.2,,2021-04-25 23:00:59.550,BTC,30APR21,58000,C
1398,146731705,1619391659671,1,0.003,0.00266191,101.23,BTC-30APR21-58000-C,48729.7,sell,0.5,,2021-04-25 23:00:59.671,BTC,30APR21,58000,C
1399,146731706,1619391659724,1,0.003,0.00266191,101.23,BTC-30APR21-58000-C,48729.7,sell,0.5,,2021-04-25 23:00:59.724,BTC,30APR21,58000,C
1400,146731707,1619391659877,1,0.003,0.00266191,101.23,BTC-30APR21-58000-C,48729.7,sell,0.1,,2021-04-25 23:00:59.877,BTC,30APR21,58000,C
1401,146731708,1619391659885,1,0.003,0.00266191,101.23,BTC-30APR21-58000-C,48729.7,sell,0.1,,2021-04-25 23:00:59.885,BTC,30APR21,58000,C
7265,146732327,1619391810428,2,0.082,0.0820647,82.92,BTC-30APR21-52000-P,48644.37,buy,0.1,,2021-04-25 23:03:30.428,BTC,30APR21,52000,P
7266,146732333,1619391810679,3,0.082,0.0820647,82.88,BTC-30APR21-52000-P,48625.88,buy,0.2,,2021-04-25 23:03:30.679,BTC,30APR21,52000,P
7267,146732335,1619391810723,3,0.082,0.0820647,82.88,BTC-30APR21-52000-P,48625.88,buy,0.1,,2021-04-25 23:03:30.723,BTC,30APR21,52000,P
7268,146732336,1619391810759,3,0.082,0.0820647,82.88,BTC-30APR21-52000-P,48625.88,buy,0.1,,2021-04-25 23:03:30.759,BTC,30APR21,52000,P
1402,146732589,1619391890477,1,0.003,0.00276108,101.82,BTC-30APR21-58000-C,48715.56,sell,0.1,,2021-04-25 23:04:50.477,BTC,30APR21,58000,C
1403,146732591,1619391893315,1,0.003,0.00276168,101.84,BTC-30APR21-58000-C,48710.1,sell,0.3,,2021-04-25 23:04:53.315,BTC,30APR21,58000,C
1404,146732592,1619391893344,1,0.003,0.00276168,101.84,BTC-30APR21-58000-C,48710.1,sell,0.1,,2021-04-25 23:04:53.344,BTC,30APR21,58000,C
1405,146732594,1619391893536,1,0.003,0.0027609,101.84,BTC-30APR21-58000-C,48710.1,sell,0.1,,2021-04-25 23:04:53.536,BTC,30APR21,58000,C
1406,146732603,1619391895462,1,0.003,0.00274515,101.97,BTC-30APR21-58000-C,48698.69,sell,0.1,,2021-04-25 23:04:55.462,BTC,30APR21,58000,C
1407,146732624,1619391899368,1,0.003,0.00274448,102.06,BTC-30APR21-58000-C,48687.01,sell,0.1,,2021-04-25 23:04:59.368,BTC,30APR21,58000,C
1408,146732625,1619391899498,1,0.003,0.00273703,102.06,BTC-30APR21-58000-C,48687.01,sell,0.1,,2021-04-25 23:04:59.498,BTC,30APR21,58000,C
1409,146732626,1619391899513,1,0.003,0.00273703,102.06,BTC-30APR21-58000-C,48687.01,sell,0.1,,2021-04-25 23:04:59.513,BTC,30APR21,58000,C
1410,146732627,1619391899557,1,0.003,0.00273703,102.06,BTC-30APR21-58000-C,48687.01,sell,0.1,,2021-04-25 23:04:59.557,BTC,30APR21,58000,C
1332,146732727,1619391955273,2,0.0235,0.02413041,80.87,BTC-30APR21-50000-C,48678.41,buy,0.2,,2021-04-25 23:05:55.273,BTC,30APR21,50000,C
5811,146732793,1619391997814,2,0.0005,0.00088496,109.22,BTC-30APR21-64000-C,48665.2,sell,0.9,,2021-04-25 23:06:37.814,BTC,30APR21,64000,C
1521,146732834,1619392046158,0,0.007,0.00685647,87.86,BTC-30APR21-54000-C,48644.1,buy,0.1,,2021-04-25 23:07:26.158,BTC,30APR21,54000,C
4495,146732835,1619392046160,2,0.0015,0.0019812,144.35,BTC-30APR21-36000-P,48644.1,sell,0.5,,2021-04-25 23:07:26.160,BTC,30APR21,36000,P
2756,146732863,1619392062310,0,0.0125,0.01238302,83.35,BTC-30APR21-52000-C,48633.22,buy,0.3,,2021-04-25 23:07:42.310,BTC,30APR21,52000,C
2757,146732864,1619392062353,1,0.0125,0.01238302,83.35,BTC-30APR21-52000-C,48633.22,buy,0.1,,2021-04-25 23:07:42.353,BTC,30APR21,52000,C
2758,146732865,1619392062440,1,0.0125,0.01238302,83.35,BTC-30APR21-52000-C,48633.22,buy,0.1,,2021-04-25 23:07:42.440,BTC,30APR21,52000,C
4496,146732897,1619392063485,3,0.0015,0.00198573,144.28,BTC-30APR21-36000-P,48633.15,sell,0.1,,2021-04-25 23:07:43.485,BTC,30APR21,36000,P
2759,146732898,1619392063846,1,0.0125,0.0123839,83.35,BTC-30APR21-52000-C,48628.65,buy,0.1,,2021-04-25 23:07:43.846,BTC,30APR21,52000,C
4497,146732899,1619392063849,3,0.0015,0.00198529,144.29,BTC-30APR21-36000-P,48628.65,sell,0.1,,2021-04-25 23:07:43.849,BTC,30APR21,36000,P
4498,146732919,1619392068583,3,0.0015,0.00198131,144.43,BTC-30APR21-36000-P,48648.02,sell,0.1,,2021-04-25 23:07:48.583,BTC,30APR21,36000,P
2760,146732921,1619392069838,1,0.0125,0.0124624,83.12,BTC-30APR21-52000-C,48651.84,buy,0.2,,2021-04-25 23:07:49.838,BTC,30APR21,52000,C
4499,146732922,1619392069842,3,0.0015,0.00197418,144.43,BTC-30APR21-36000-P,48651.84,sell,0.2,,2021-04-25 23:07:49.842,BTC,30APR21,36000,P
